sku;name;categoria;tipo;estilo;corte;cuello;composicion;price;special_price;link_producto;link_imagen;product_type;temporada;Talles-disponibles
T0021ICO01;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021ico01;https://burgues.com/media/catalog/product/_/l/_lr04822.jpg;configurable;ARCHIVE;XS|S|M|L|XL
T0021BOS01;RemeraBoston;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021bos01;https://burgues.com/media/catalog/product/t/0/t0021bos01-1.jpg;configurable;ARCHIVE;
V2321ICOD2;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;v2321icod2;https://burgues.com/media/catalog/product/v/2/v2321icod2-1.jpg;configurable;ARCHIVE;XS|S|L
V2321PARN1;RemeraParis;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;v2321parn1;https://burgues.com/media/catalog/product/v/2/v2321parn1-1.jpg;configurable;ARCHIVE;XS|S
V2321ICON2;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;v2321icon2;https://burgues.com/media/catalog/product/v/2/v2321icon2.jpg;configurable;ARCHIVE;XS|S|M
L0021ICO21;RemeraIconic;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;l0021ico21;https://burgues.com/media/catalog/product/l/0/l0021ico21.jpg;configurable;ARCHIVE;
L0021KEN01;RemeraKendall;Remeras;Remeras;Vestir;Classic;CuelloRedondo;100%Algodón;70000;34900;l0021ken01;https://burgues.com/media/catalog/product/l/0/l0021ken01-1.jpg;configurable;ARCHIVE;
T0021BIA02;RemeraBiarritz;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021bia02;https://burgues.com/media/catalog/product/t/0/t0021bia02.jpg;configurable;ARCHIVE;
T0021STU13;RemeraStudio;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021stu13;https://burgues.com/media/catalog/product/t/0/t0021stu13.jpg;configurable;ARCHIVE;
T0021ERM44;RemeraErme;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021erm44;https://burgues.com/media/catalog/product/t/0/t0021erm44.jpg;configurable;ARCHIVE;XS|S
T0021ERM13;RemeraErme;Remeras;Remeras;Sport;Classic;CuelloRedondo;100%Algodón;70000;34900;t0021erm13;https://burgues.com/media/catalog/product/t/0/t0021erm13.jpg;configurable;ARCHIVE;XS|S|M
L0021ICO12;RemeraIconic;Remeras;Remeras;Sport;SlimFit;CuelloRedondo;100%Algodón;70000;34900;l0021ico12;https://burgues.com/media/catalog/product/l/0/l0021ico12-2.jpg;configurable;ARCHIVE;
I2121ICO02;RemeraIconic;Remeras;Remeras;Sport;SlimFit;;100%Algodón;70000;34900;i2121ico02;https://burgues.com/media/catalog/product/i/2/i2121ico02-2.jpg;configurable;ARCHIVE;
